"Detailed household final consumption expenditure, Canada, quarterly (x 1,000,000)"
"Frequency: Quarterly"
"Table: 36-10-0124-01 (formerly CANSIM 380-0085)"
"Release date: 2023-09-01"
"Geography: Canada"
""
""

"Prices","Current prices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at quarterly rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023"
"Clothing and footwear","11,912","11,827","11,730","11,801","11,930","12,193","12,316","12,392","12,534","12,604","12,781","12,657","12,796","12,963","13,055","13,062","11,066","7,369","11,635","11,174","10,769","10,441","13,538","13,669","13,214","14,592","14,431","14,528","15,052","15,321"
"Clothing materials, other articles of clothing and clothing accessories","1,055","1,076","1,054","1,076","1,066","1,089","1,098","1,087","1,114","1,132","1,138","1,131","1,148","1,170","1,197","1,187","1,002","579","1,091","1,027","1,029","960","1,268","1,296","1,329","1,403","1,359","1,375","1,456","1,460"
"Garments","8,568","8,543","8,436","8,460","8,578","8,752","8,878","8,951","9,056","9,097","9,258","9,152","9,249","9,409","9,477","9,499","8,005","5,345","8,360","8,037","7,738","7,595","9,863","9,950","9,536","10,657","10,532","10,543","11,019","11,238"
"Cleaning of clothing","366","362","361","359","364","366","369","368","367","362","358","360","361","357","348","340","324","220","276","286","285","284","288","289","301","309","315","323","330","334"
"Footwear","1,923","1,846","1,879","1,906","1,922","1,986","1,971","1,986","1,997","2,013","2,027","2,014","2,038","2,027","2,033","2,036","1,735","1,225","1,908","1,824","1,717","1,602","2,119","2,134","2,048","2,223","2,225","2,287","2,247","2,289"
"Housing, water, electricity, gas and other fuels","68,130","68,799","69,516","70,086","70,718","71,293","71,751","72,547","73,341","74,132","74,937","75,790","76,893","77,809","78,791","80,054","80,771","80,819","81,908","82,954","83,608","85,148","86,407","87,493","90,071","91,715","93,234","94,831","96,459","98,040"
"Paid rental fees for housing","14,643","14,799","14,950","15,088","15,247","15,383","15,535","15,674","15,854","16,043","16,219","16,395","16,659","16,905","17,169","17,458","17,666","17,700","17,916","18,165","18,355","18,663","18,939","19,235","19,704","20,111","20,433","20,852","21,337","21,814"
"Imputed rental fees for housing","43,886","44,290","44,673","45,056","45,467","45,865","46,329","46,829","47,271","47,806","48,302","48,817","49,573","50,274","51,010","51,732","52,281","52,368","52,944","53,529","53,991","54,864","55,602","56,310","57,674","58,800","59,641","60,792","62,187","63,455"
"Materials for the maintenance and repair of the dwelling","746","744","741","768","768","778","807","820","808","811","801","815","811","829","834","823","866","900","1,007","1,049","1,141","1,049","990","1,058","1,124","1,117","1,126","1,079","1,011","999"
"Services for the maintenance and repair of the dwelling","115","117","118","119","120","121","123","125","126","127","128","129","130","130","131","133","127","106","124","131","133","136","136","137","140","141","142","143","144","145"
"Water supply and sanitation services","1,881","1,911","1,945","1,974","2,007","2,036","2,072","2,106","2,135","2,166","2,192","2,226","2,253","2,272","2,315","2,351","2,364","2,419","2,456","2,490","2,532","2,565","2,586","2,611","2,663","2,709","2,725","2,757","2,810","2,855"
"Electricity","4,759","4,822","4,901","4,864","4,769","4,733","4,555","4,619","4,707","4,743","4,847","4,897","4,940","4,851","4,877","5,033","5,037","4,948","5,136","5,088","5,010","5,225","5,387","5,192","5,473","5,413","5,410","5,463","5,374","5,720"
"Gas","1,489","1,454","1,568","1,548","1,652","1,740","1,717","1,696","1,767","1,719","1,715","1,766","1,803","1,814","1,742","1,795","1,707","1,764","1,716","1,879","1,817","1,977","2,054","2,188","2,412","2,520","2,860","2,880","2,738","2,345"
"Other fuels","611","662","620","669","688","637","613","678","673","717","733","745","724","734","713","729","723","614","609","623","629","669","713","762","881","904","897","865","858","707"
"Furnishings, household equipment and other goods and services related to the dwelling and property","15,272","15,376","15,442","15,688","15,941","16,145","16,144","16,387","16,550","16,768","16,833","16,729","16,976","17,334","17,390","17,608","17,405","16,533","19,503","20,149","20,829","19,909","20,426","20,755","21,454","21,549","20,960","20,952","21,258","21,109"
"Furniture and furnishings","4,295","4,367","4,292","4,444","4,466","4,456","4,473","4,583","4,615","4,634","4,733","4,667","4,781","4,824","4,922","4,983","4,759","4,660","5,800","6,029","6,161","6,165","6,264","6,307","6,397","6,623","6,208","6,096","6,218","6,010"
"Carpets and other floor coverings","180","184","188","187","191","196","195","200","205","206","205","202","198","212","211","209","200","179","224","254","251","244","234","244","279","269","258","254","256","261"
"Household textiles","885","879","868","881","887","907","920","938","942","941","955","927","940","984","978","967","876","837","1,102","1,076","1,089","982","1,105","1,112","1,133","1,099","1,054","1,048","1,077","1,079"
"Major household appliances","1,520","1,532","1,579","1,570","1,673","1,706","1,672","1,751","1,753","1,795","1,781","1,815","1,695","1,753","1,758","1,761","1,859","2,011","2,379","2,576","2,578","2,383","2,319","2,327","2,392","2,375","2,219","2,245","2,150","2,133"
"Small electric household appliances","498","497","514","518","531","541","538","542","558","557","583","582","567","602","598","624","664","766","798","803","819","839","836","830","842","888","883","871","918","981"
"Major tools and equipment","693","708","747","773","799","815","787","768","789","812","798","787","842","852","820","830","776","950","1,163","1,142","1,324","1,117","1,153","1,209","1,465","1,335","1,325","1,395","1,213","1,259"
"Small tools and miscellaneous accessories","659","644","658","680","704","732","730","716","754","784","782","778","856","840","826","823","836","895","955","1,003","1,109","898","975","1,001","991","943","935","898","905","912"
"Other semi-durable household goods","1,828","1,824","1,843","1,808","1,849","1,891","1,935","1,961","1,941","1,976","1,975","1,912","1,947","2,004","2,025","2,172","2,135","1,852","2,103","2,109","2,226","2,152","2,231","2,300","2,323","2,318","2,189","2,180","2,477","2,434"
"Other non-durable household goods","1,961","1,975","1,989","2,023","2,042","2,119","2,085","2,096","2,137","2,199","2,167","2,197","2,260","2,345","2,330","2,330","2,506","2,532","2,540","2,527","2,502","2,374","2,457","2,451","2,584","2,568","2,700","2,728","2,769","2,764"
"Repair of personal and household goods except vehicles","704","698","692","690","688","678","683","689","689","678","672","676","687","694","692","694","634","527","621","623","639","656","661","684","688","704","710","717","731","735"
"Renting and leasing of personal and household goods except passenger vehicles","783","801","805","836","825","805","812","815","818","835","829","823","838","846","840","820","798","617","705","743","784","788","833","857","903","942","971","966","969","958"
"Other services related to the dwelling and property","1,266","1,267","1,267","1,278","1,286","1,299","1,314","1,328","1,349","1,351","1,353","1,363","1,365","1,378","1,390","1,395","1,362","707","1,113","1,264","1,347","1,311","1,358","1,433","1,457","1,485","1,508","1,554","1,575","1,583"
"Health","12,247","12,374","12,462","12,578","12,761","12,951","13,067","13,142","13,314","13,384","13,512","13,572","13,717","13,901","14,148","14,222","13,904","10,887","13,181","13,699","14,055","14,014","14,402","14,606","15,235","15,767","15,646","15,976","16,230","16,766"
"Pharmaceutical products and other medical products (except cannabis)","5,078","5,081","5,052","5,034","5,136","5,205","5,256","5,302","5,376","5,406","5,457","5,452","5,559","5,642","5,722","5,644","5,898","5,570","5,948","5,941","6,137","6,030","6,161","6,233","6,718","6,933","6,763","6,913","7,014","7,246"
"Cannabis products for medical use","43","59","78","99","125","143","155","161","154","147","133","153","155","152","151","145","139","140","126","121","114","113","111","105","107","107","92","104","92","93"
"Therapeutic appliances and equipment","1,029","1,057","1,083","1,109","1,111","1,144","1,162","1,138","1,177","1,202","1,239","1,232","1,221","1,226","1,268","1,277","1,206","804","1,318","1,405","1,432","1,277","1,420","1,445","1,494","1,577","1,533","1,559","1,614","1,636"
"Out-patient services","5,303","5,378","5,443","5,524","5,577","5,647","5,682","5,727","5,786","5,805","5,856","5,908","5,951","6,039","6,142","6,266","5,773","3,717","5,048","5,475","5,608","5,809","5,921","6,036","6,126","6,338","6,438","6,570","6,671","6,935"
"Hospital services","794","799","806","812","812","812","812","814","821","824","827","827","831","842","865","890","888","656","741","757","764","785","789","787","790","812","820","830","839","856"
"Transport","41,832","42,372","42,441","43,842","45,590","46,200","46,581","47,891","48,819","49,334","49,614","49,226","49,200","49,691","49,275","49,541","42,815","28,124","41,425","41,443","41,675","42,950","46,154","48,203","50,028","52,735","53,329","55,683","56,168","57,070"
"New passenger cars","4,688","4,617","4,524","4,516","4,708","4,695","4,763","4,719","4,641","4,503","4,378","4,221","4,083","4,016","3,758","3,752","3,234","1,778","3,120","3,189","3,201","3,132","3,389","3,265","3,749","2,710","3,144","3,340","3,361","3,050"
"New trucks, vans and sport utility vehicles","9,678","9,799","9,786","10,265","10,848","11,196","11,148","11,161","11,489","11,467","11,297","11,422","11,557","11,439","12,093","12,290","9,756","8,133","13,469","12,833","12,562","12,216","11,743","11,652","11,758","11,567","11,700","12,993","13,694","14,221"
"Used motor vehicles","3,886","3,728","3,838","3,959","4,123","4,269","4,366","4,426","4,474","4,643","4,769","4,922","5,083","4,976","4,704","4,486","3,592","2,744","3,873","3,861","3,812","4,403","4,679","5,196","5,021","4,938","5,049","5,291","5,453","5,499"
"Other vehicles","785","761","787","808","832","839","817","848","844","828","819","816","836","854","884","891","845","1,003","1,094","1,232","1,241","1,108","1,100","1,141","1,303","1,186","1,222","1,199","1,277","1,225"
"Spare parts and accessories for vehicles","4,070","3,999","3,949","4,029","4,245","4,361","4,400","4,567","4,577","4,627","4,756","4,792","4,902","4,857","4,783","4,790","4,554","4,026","4,962","5,132","5,095","5,269","5,423","5,505","5,591","5,722","5,922","5,918","6,006","6,081"
"Fuels and lubricants","8,847","9,475","9,357","10,088","10,524","10,305","10,340","11,208","11,758","12,066","12,160","11,524","10,979","11,658","11,139","11,405","10,133","5,692","8,626","8,650","9,348","10,073","11,825","12,713","13,748","15,805","14,541","14,715","13,916","14,125"
"Maintenance and repair of vehicles","2,538","2,550","2,551","2,567","2,550","2,611","2,688","2,821","2,797","2,832","2,882","2,923","2,990","2,975","2,948","2,927","2,762","2,313","2,971","3,093","3,021","3,189","3,301","3,345","3,397","3,544","3,660","3,716","3,795","3,791"
"Parking","741","748","758","767","778","789","799","808","816","823","829","836","859","864","866","861","780","546","623","587","593","634","680","705","729","813","824","854","842","867"
"Passenger vehicle renting","304","305","312","313","319","323","325","321","326","331","331","333","341","348","349","349","333","188","203","200","199","198","205","219","237","264","275","282","293","298"
"Other services related to the operation of transport equipment","603","620","630","637","644","654","650","642","650","657","657","668","672","690","701","709","664","438","577","582","583","573","632","674","639","706","722","729","770","792"
"Railway transport","65","68","69","70","72","76","79","78","79","83","82","85","86","85","85","90","54","4","14","12","13","17","40","54","47","84","88","89","95","100"
"Urban transit","1,076","1,107","1,119","1,119","1,133","1,149","1,162","1,177","1,187","1,194","1,204","1,211","1,228","1,243","1,258","1,261","1,131","238","474","510","472","507","574","622","612","803","880","935","974","1,026"
"Interurban bus","307","306","305","304","307","304","302","302","306","307","304","257","257","257","270","285","290","39","49","52","64","85","135","159","151","224","237","247","220","235"
"Taxi and limousine","306","309","314","319","324","328","331","336","339","344","352","363","377","384","390","391","345","249","328","323","337","363","394","401","411","437","447","461","475","491"
"Air transport","3,137","3,161","3,322","3,262","3,359","3,460","3,570","3,626","3,673","3,765","3,913","3,948","4,037","4,109","4,086","4,093","3,453","170","391","470","407","450","1,279","1,772","1,827","3,116","3,844","4,187","4,291","4,567"
"Water transport","114","116","115","114","115","119","122","122","122","125","128","137","147","161","165","171","141","56","103","91","97","89","148","149","150","163","166","168","173","180"
"Other transport services","687","703","705","705","709","722","719","729","741","739","753","768","766","775","796","790","748","507","548","626","630","644","607","631","658","653","608","559","533","522"
"Communications","7,540","7,644","7,749","7,792","7,950","8,210","8,272","8,393","8,542","8,559","8,683","8,870","8,926","8,967","8,994","9,000","8,934","8,860","9,000","8,966","9,020","9,042","9,117","9,228","9,264","9,412","9,477","9,658","9,806","9,851"
"Postal services","447","442","440","441","443","443","446","447","448","452","454","455","473","476","478","480","490","502","514","530","539","538","528","536","529","524","531","535","530","527"
"Telecommunication equipment","270","273","288","294","300","310","307","315","320","314","336","336","336","349","343","354","339","317","381","362","353","338","357","362","383","432","420","433","471","484"
"Telecommunication services","6,823","6,929","7,021","7,057","7,207","7,457","7,519","7,631","7,774","7,793","7,893","8,079","8,117","8,142","8,173","8,166","8,105","8,041","8,105","8,074","8,128","8,166","8,232","8,330","8,352","8,456","8,526","8,690","8,805","8,840"
"Recreation and culture","23,201","23,090","23,350","23,469","23,986","24,080","24,199","24,619","24,976","25,145","25,241","25,570","25,433","25,746","25,795","25,854","24,947","20,812","24,964","25,259","25,637","25,286","27,264","27,737","27,871","29,977","29,459","29,979","30,540","30,652"
"Audio-visual and photographic equipment","1,636","1,656","1,612","1,698","1,751","1,786","1,744","1,799","1,871","1,840","1,836","1,853","1,795","1,874","1,829","1,794","1,733","1,857","2,032","2,036","1,974","1,904","1,890","1,871","1,877","1,891","1,784","1,703","1,706","1,718"
"Information processing equipment","1,041","1,054","1,066","1,039","1,088","1,124","1,127","1,158","1,188","1,181","1,183","1,214","1,197","1,210","1,212","1,219","1,286","1,454","1,508","1,533","1,663","1,562","1,494","1,522","1,474","1,558","1,502","1,541","1,690","1,713"
"Recording media","614","609","617","636","616","589","583","569","595","619","587","589","619","611","603","574","575","671","645","524","620","610","627","544","597","668","618","537","623","576"
"Major durables for outdoor recreation","1,714","1,678","1,686","1,754","1,864","1,875","1,818","1,864","1,856","1,996","1,970","1,935","1,942","1,988","1,924","1,840","1,762","1,772","2,578","2,628","2,735","2,722","2,339","2,515","2,715","2,487","2,473","2,352","2,315","2,244"
"Musical instruments and major durables for indoor recreation","291","296","302","298","293","295","303","306","305","304","295","298","317","310","314","299","303","270","339","359","383","354","358","366","307","323","332","337","317","308"
"Games, toys and hobbies","1,491","1,474","1,455","1,449","1,469","1,436","1,517","1,616","1,576","1,539","1,624","1,755","1,711","1,651","1,610","1,596","1,734","1,966","2,255","2,252","2,604","2,205","2,300","2,307","2,309","2,388","2,287","2,247","2,375","2,403"
"Equipment for sport, camping and open-air recreation","1,324","1,354","1,345","1,346","1,361","1,390","1,428","1,445","1,454","1,404","1,433","1,432","1,429","1,430","1,437","1,507","1,566","1,688","1,903","2,063","2,190","2,140","2,065","2,120","2,283","2,266","2,140","2,142","2,127","2,085"
"Garden products, plants and flowers","853","874","890","898","911","916","934","956","975","957","986","1,017","1,048","1,045","1,063","1,076","1,087","1,118","1,249","1,372","1,427","1,377","1,353","1,377","1,475","1,564","1,535","1,560","1,547","1,607"
"Pets and pet food","1,090","1,137","1,112","1,105","1,145","1,171","1,196","1,252","1,272","1,295","1,318","1,332","1,343","1,410","1,447","1,506","1,612","1,492","1,689","1,762","1,733","1,701","1,785","1,792","1,860","1,994","1,976","2,021","2,122","2,120"
"Veterinary and other services for pets","790","791","798","818","838","853","867","885","902","915","926","950","967","980","997","1,014","1,029","935","1,100","1,137","1,179","1,151","1,174","1,199","1,214","1,242","1,269","1,302","1,343","1,345"
"Recreational and sporting services","2,750","2,786","2,820","2,861","2,911","2,914","2,955","2,986","3,027","3,034","3,054","3,103","3,172","3,205","3,249","3,298","2,873","1,307","1,912","1,986","1,922","2,011","2,476","2,755","2,755","3,113","3,253","3,367","3,445","3,572"
"Cable, satellite and other program distribution services","2,486","2,501","2,512","2,516","2,523","2,531","2,538","2,552","2,595","2,583","2,609","2,610","2,700","2,695","2,713","2,712","2,708","2,713","2,714","2,726","2,726","2,736","2,776","2,769","2,774","2,794","2,809","2,841","2,842","2,812"
"Cinemas","321","270","291","275","296","276","277","287","294","296","293","292","274","294","287","292","212","5","20","10","5","25","157","199","153","204","201","197","205","249"
"Photographic services","246","246","247","253","258","264","266","264","265","267","269","270","272","273","272","271","260","248","262","271","277","266","275","276","277","278","281","284","282","281"
"Other cultural services","769","766","771","794","806","815","819","831","841","843","831","840","859","867","870","890","758","378","416","429","451","456","543","647","646","759","788","798","818","841"
"Games of chance","4,036","3,900","4,101","3,991","4,123","4,094","4,097","4,158","4,215","4,281","4,239","4,276","4,019","4,110","4,166","4,187","3,726","1,311","2,550","2,494","1,961","2,396","4,033","3,868","3,556","4,718","4,703","5,181","5,150","5,087"
"Books","752","736","762","778","795","814","795","776","800","828","813","858","828","853","852","828","791","714","805","784","758","795","717","702","724","787","652","675","742","747"
"Newspapers and periodicals","462","448","451","447","425","423","429","425","431","437","448","430","417","407","422","425","419","394","403","374","398","336","324","323","351","403","335","354","323","335"
"Miscellaneous printed matter and stationery and drawing materials","535","514","512","513","513","514","506","490","514","526","527","516","524","533","528","526","513","519","584","519","631","539","578","585","524","540","521","540","568","609"
"Education","4,708","4,776","4,844","4,933","5,010","5,079","5,164","5,257","5,379","5,488","5,641","5,769","5,845","5,900","5,888","5,742","5,836","5,610","5,738","5,599","5,658","5,813","6,019","6,079","6,185","6,264","6,337","6,421","6,495","6,616"
"University education","2,310","2,350","2,385","2,441","2,495","2,521","2,562","2,612","2,670","2,724","2,807","2,892","2,937","2,963","2,953","2,853","2,907","2,969","3,004","2,915","2,966","3,063","3,096","3,134","3,202","3,246","3,268","3,296","3,319","3,394"
"Other education","2,398","2,426","2,459","2,492","2,515","2,558","2,602","2,645","2,709","2,764","2,834","2,877","2,908","2,937","2,935","2,889","2,929","2,641","2,734","2,684","2,692","2,750","2,923","2,945","2,983","3,018","3,069","3,125","3,176","3,222"
"Food, beverage and accommodation services","19,917","20,210","20,592","20,656","21,011","21,309","21,640","21,806","22,021","22,358","22,723","22,889","23,114","23,445","23,562","23,792","20,983","11,361","17,321","15,905","16,393","16,624","22,248","22,387","21,950","25,629","26,291","26,316","27,903","28,119"
"Food and non-alcoholic beverage services","14,352","14,543","14,787","14,820","15,093","15,315","15,554","15,726","15,913","16,127","16,428","16,602","16,777","16,966","17,024","17,194","15,217","9,244","13,494","12,669","12,935","13,128","16,634","16,756","16,581","18,494","18,880","19,155","20,306","20,549"
"Alcoholic beverage services","2,734","2,744","2,763","2,779","2,833","2,827","2,847","2,859","2,884","2,923","2,936","2,945","2,955","2,983","2,977","2,980","2,550","878","1,984","1,311","1,447","1,573","2,982","2,560","2,290","3,197","3,153","3,114","3,274","3,115"
"Accommodation services","2,831","2,923","3,042","3,057","3,085","3,167","3,239","3,221","3,224","3,308","3,359","3,342","3,382","3,496","3,561","3,618","3,216","1,239","1,843","1,925","2,011","1,923","2,632","3,071","3,079","3,938","4,258","4,047","4,323","4,455"
"Insurance and financial services","25,303","25,309","25,593","25,757","26,197","26,546","26,894","27,602","27,621","27,828","27,891","28,018","28,359","28,789","28,932","29,245","29,180","29,376","29,646","30,402","31,208","32,203","32,801","32,984","33,503","33,250","32,687","32,406","32,473","32,499"
"Life insurance","2,607","2,622","2,661","2,679","2,731","2,762","2,789","2,801","2,788","2,834","2,786","2,831","2,823","2,857","2,849","2,894","2,881","2,897","2,901","2,886","2,847","2,873","2,898","2,877","2,894","2,940","2,912","2,955","2,963","2,993"
"Property insurance","643","540","555","567","633","729","762","769","735","711","705","696","719","759","756","750","819","776","801","822","872","892","868","860","873","854","863","853","864","872"
"Health insurance","1,677","1,685","1,718","1,712","1,749","1,776","1,792","1,814","1,797","1,816","1,814","1,836","1,789","1,813","1,810","1,817","1,832","1,917","1,907","1,929","1,940","1,886","1,874","1,879","1,889","1,904","1,910","1,920","1,930","1,937"
"Insurance related to transport","1,830","1,732","1,762","1,770","1,826","1,874","1,902","1,911","1,875","1,845","1,821","1,837","1,835","1,905","1,895","1,956","1,985","2,001","2,046","2,068","2,217","2,187","2,209","2,218","2,250","2,257","2,230","2,219","2,286","2,319"
"Implicit loan charges","3,459","3,458","3,435","3,471","3,502","3,487","3,585","3,697","3,676","3,740","3,678","3,653","3,691","3,727","3,765","3,815","3,841","3,905","3,764","3,821","3,857","3,923","3,959","3,942","4,014","4,003","3,896","3,770","3,655","3,568"
"Implicit deposit charges","3,040","3,050","2,992","3,053","3,086","3,051","3,104","3,127","3,116","3,162","3,151","3,164","3,181","3,190","3,227","3,262","3,273","3,400","3,337","3,370","3,406","3,472","3,538","3,497","3,565","3,565","3,438","3,330","3,204","3,133"
"Stock and bond commissions","1,171","1,198","1,232","1,217","1,270","1,283","1,281","1,300","1,347","1,317","1,357","1,415","1,426","1,426","1,453","1,473","1,422","1,465","1,498","1,538","1,609","1,718","1,735","1,724","1,808","1,773","1,742","1,729","1,733","1,705"
"Other actual financial charges","4,275","4,299","4,331","4,319","4,326","4,394","4,388","4,615","4,600","4,625","4,712","4,786","4,904","4,982","5,067","5,017","5,078","4,963","5,037","5,250","5,427","5,660","5,836","6,055","6,129","6,288","6,209","6,236","6,299","6,359"
"Trusteed pension funds","1,689","1,666","1,626","1,644","1,651","1,727","1,736","1,779","1,798","1,823","1,909","1,925","1,919","1,925","1,866","1,972","1,937","1,907","1,936","1,962","2,009","2,072","2,097","2,120","2,170","2,220","2,254","2,138","2,210","2,220"
"Mutual funds","4,912","5,059","5,281","5,325","5,423","5,463","5,555","5,789","5,889","5,955","5,958","5,875","6,072","6,205","6,244","6,289","6,112","6,145","6,419","6,756","7,024","7,520","7,787","7,812","7,911","7,446","7,233","7,256","7,329","7,393"
"Miscellaneous goods and services","14,682","14,851","15,065","15,161","15,289","15,597","15,673","15,893","16,021","16,191","16,460","16,612","16,872","17,112","17,174","17,241","16,878","13,243","16,235","16,476","16,176","16,158","17,782","18,127","18,455","19,223","19,193","19,436","19,715","20,063"
"Personal grooming services","2,161","2,154","2,176","2,193","2,213","2,220","2,234","2,232","2,260","2,284","2,311","2,345","2,369","2,382","2,407","2,423","2,097","1,023","1,970","1,819","1,695","1,672","2,329","2,370","2,401","2,542","2,560","2,663","2,749","2,802"
"Electrical appliances for personal care","168","168","175","176","180","182","178","180","187","186","195","195","193","203","201","204","220","257","268","268","274","282","279","278","283","297","295","293","308","330"
"Other appliances, articles and products for personal care","3,921","3,980","4,009","4,029","4,008","4,171","4,228","4,366","4,301","4,287","4,355","4,383","4,517","4,610","4,614","4,598","4,817","4,601","4,864","4,859","4,864","4,899","5,060","5,105","5,202","5,660","5,670","5,764","5,967","6,164"
"Jewellery, clocks and watches","1,137","1,150","1,210","1,202","1,231","1,286","1,236","1,230","1,260","1,303","1,347","1,303","1,308","1,334","1,310","1,323","1,182","683","1,377","1,349","1,306","1,186","1,574","1,576","1,610","1,634","1,577","1,567","1,558","1,558"
"Other personal effects","797","806","834","837","845","845","844","849","860","867","871","885","885","903","874","887","810","599","815","804","826","836","932","920","930","1,033","983","964","1,049","1,042"
"Child care services outside the home","1,328","1,346","1,361","1,378","1,395","1,415","1,435","1,455","1,483","1,522","1,548","1,582","1,601","1,618","1,635","1,653","1,584","389","996","1,259","1,101","1,160","1,418","1,561","1,582","1,530","1,566","1,573","1,420","1,377"
"Child care services in the home","303","304","306","308","309","309","310","311","308","306","305","306","309","311","314","312","294","179","240","260","262","281","302","306","317","325","330","337","342","345"
"Other social services","2,017","2,047","2,086","2,123","2,164","2,197","2,231","2,256","2,318","2,385","2,426","2,463","2,516","2,551","2,591","2,627","2,656","2,603","2,622","2,638","2,591","2,555","2,587","2,613","2,675","2,727","2,747","2,786","2,799","2,830"
"Undertaking and other funeral services","570","576","582","584","597","602","611","616","626","617","624","625","625","632","638","643","649","675","693","713","693","702","708","721","746","739","742","748","722","735"
"Legal and other services","2,280","2,320","2,326","2,331","2,347","2,370","2,366","2,398","2,418","2,434","2,478","2,525","2,549","2,568","2,590","2,571","2,569","2,234","2,390","2,507","2,564","2,585","2,593","2,677","2,709","2,736","2,723","2,741","2,801","2,880"
"Net expenditure abroad","3,399","2,917","3,033","3,282","2,898","3,073","3,164","2,721","2,648","2,611","2,422","1,831","2,036","1,190","1,342","2,692","5,622","-2,958","-2,333","-1,946","-2,006","-2,389","-1,860","-1,818","-1,020","55","1,249","314","855","-125"
"Expenditure by Canadians abroad","11,521","11,351","11,733","12,075","11,921","12,137","12,347","12,388","12,306","12,315","12,456","12,394","12,505","12,508","12,998","13,612","13,100","1,185","1,441","1,656","1,561","1,419","2,988","4,776","5,442","8,476","10,467","10,627","11,428","10,708"
