"Funds advanced, outstanding balances, and interest rates for new and existing lending, Bank of Canada 1 2 3 4 5 6"
"Frequency: Monthly"
"Table: 10-10-0006-01 (formerly CANSIM 176-0091)"
"Release date: 2023-11-16"
"Geography: Canada"
""
""

,"Geography","Canada",,,,
"Variable rate, outstanding balances, residential mortgages, insured","Dollars  (x 1,000,000)","72,989","70,377","67,354","65,335","63,916"
,"Interest rate","5.80","6.03","6.27","6.18","6.30"
"Fixed rate, outstanding balances, residential mortgages, insured, less than 1 year","Dollars  (x 1,000,000)","3,193","3,781","3,857","3,996","4,068"
,"Interest rate","6.73","6.96","6.88","6.79","6.92"
"Fixed rate, outstanding balances, residential mortgages, insured, from 1 to less than 3 years","Dollars  (x 1,000,000)","21,789","22,836","23,524","24,056","24,341"
,"Interest rate","4.45","4.65","4.77","4.85","4.96"
"Fixed rate, outstanding balances, residential mortgages, insured, from 3 to less than 5 years","Dollars  (x 1,000,000)","66,616","68,800","70,462","71,977","72,236"
,"Interest rate","3.12","3.28","3.44","3.56","3.66"
"Fixed rate, outstanding balances, residential mortgages, insured, 5 years and over","Dollars  (x 1,000,000)","232,351","230,789","228,803","229,497","228,334"
,"Interest rate","2.72","2.75","2.77","2.81","2.85"
"Total, outstanding balances, residential mortgages, uninsured 7","Dollars  (x 1,000,000)","1,105,772","1,114,224","1,120,601","1,126,279","1,130,978"
,"Interest rate","4.32","4.44","4.56","4.59","4.63"
"Variable rate, outstanding balances, residential mortgages, uninsured","Dollars  (x 1,000,000)","413,075","401,871","389,227","378,632","373,282"
,"Interest rate","6.16","6.40","6.65","6.67","6.67"
"Fixed rate, outstanding balances, residential mortgages, uninsured, less than 1 year","Dollars  (x 1,000,000)","6,400","7,502","7,753","8,009","8,359"
,"Interest rate","6.18","6.39","6.30","6.25","6.25"
"Fixed rate, outstanding balances, residential mortgages, uninsured, from 1 to less than 3 years","Dollars  (x 1,000,000)","112,076","118,002","122,542","126,271","129,003"
,"Interest rate","4.49","4.59","4.69","4.77","4.84"
"Fixed rate, outstanding balances, residential mortgages, uninsured, from 3 to less than 5 years","Dollars  (x 1,000,000)","217,912","232,128","246,674","259,431","267,182"
,"Interest rate","3.24","3.43","3.63","3.80","3.92"
"Fixed rate, outstanding balances, residential mortgages, uninsured, 5 years and more","Dollars  (x 1,000,000)","356,308","354,720","354,405","353,936","353,151"
,"Interest rate","2.77","2.79","2.82","2.86","2.89"
"Total, funds advanced, variable rate mortgages","Dollars  (x 1,000,000)","2,534","2,468","2,000","2,479","2,694"
,"Interest rate","6.86","7.40","7.48","7.44","7.22"
"Funds advanced, closed non-convertible variable rate mortgages","Dollars  (x 1,000,000)","1,233","1,078","885","1,254","1,494"
,"Interest rate","6.23","6.42","6.65","6.69","6.68"
"Funds advanced, closed convertible variable rate mortgages","Dollars  (x 1,000,000)","814","713","620","661","800"
,"Interest rate","6.38","6.54","6.81","6.87","6.88"
"Funds advanced, open variable rate mortgages","Dollars  (x 1,000,000)","487","677","496","564","399"
,"Interest rate","9.28","9.87","9.78","9.77","9.92"
"Total, funds advanced for non-mortgage loans, consumer credit","Dollars  (x 1,000,000)","23,342","24,698","22,278","22,803","20,337"
,"Interest rate","8.43","8.47","8.78","8.89","9.04"
"Funds advanced for non-mortgage loans, consumer credit, personal loan plans","Dollars  (x 1,000,000)","5,102","5,292","4,835","5,028","4,280"
,"Interest rate","9.13","8.99","9.19","9.39","9.46"
"Funds advanced for non-mortgage loans, personal loan plans, consumer credit, Of which are auto loans","Dollars  (x 1,000,000)","3,997","4,144","3,734","3,905","3,379"
,"Interest rate","7.65","7.61","7.87","8.01","8.13"
"Funds advanced for non-mortgage loans, consumer credit, personal lines of credit, secured","Dollars  (x 1,000,000)","11,962","13,324","11,720","11,671","10,325"
,"Interest rate","6.49","6.58","6.84","6.92","7.02"
"Funds advanced for non-mortgage loans, consumer credit, personal lines of credit, unsecured","Dollars  (x 1,000,000)","4,173","4,046","3,816","4,041","3,787"
,"Interest rate","10.15","10.47","10.80","10.76","10.71"
"Funds advanced for non-mortgage loans, consumer credit, other personal","Dollars  (x 1,000,000)","2,106","2,035","1,907","2,063","1,944"
,"Interest rate","14.34","15.44","15.60","15.19","15.59"
"Total, outstanding balances for non-mortgage loans, consumer credit","Dollars  (x 1,000,000)","582,341","586,023","588,493","590,180","592,456"
,"Interest rate","8.26","8.46","8.61","8.67","8.75"
"Outstanding balances for non-mortgage loans, consumer credit, personal loan plans","Dollars  (x 1,000,000)","118,036","119,133","119,968","120,702","121,102"
,"Interest rate","6.56","6.66","6.75","6.83","6.91"
"Outstanding balances for non-mortgage loans, consumer credit, personal loan plans, Of which are auto loans","Dollars  (x 1,000,000)","100,793","101,782","102,550","103,252","103,696"
,"Interest rate","5.72","5.82","5.90","5.99","6.07"
"Outstanding balances for non-mortgage loans, consumer credit, credit card loans","Dollars  (x 1,000,000)","86,197","87,657","88,918","89,629","91,185"
,"Interest rate","20.12","20.41","20.29","20.40","20.54"
"Outstanding balances for non-mortgage loans, consumer credit, personal lines of credit, secured","Dollars  (x 1,000,000)","303,390","304,224","304,500","304,546","304,906"
,"Interest rate","5.22","5.39","5.56","5.58","5.61"
"Outstanding balances for non-mortgage loans, consumer credit, personal lines of credit, unsecured","Dollars  (x 1,000,000)","56,051","56,431","56,563","56,884","57,148"
,"Interest rate","10.33","10.57","10.86","10.90","10.90"
"Outstanding balances for non-mortgage loans, consumer credit, other personal","Dollars  (x 1,000,000)","18,667","18,578","18,542","18,420","18,117"
,"Interest rate","7.44","7.54","7.84","7.83","7.76"
"Total, funds advanced, business loans 8","Dollars  (x 1,000,000)","116,105","122,596","119,425","117,999","113,817"
,"Interest rate","6.34","6.84","6.95","7.02","7.02"
"Funds advanced, business loans, to regulated non-bank financial institutions","Dollars  (x 1,000,000)","4,580","4,694","4,535","4,609","5,074"
,"Interest rate","6.52","6.76","6.91","6.97","7.11"
"Funds advanced, business loans, lease receivables","Dollars  (x 1,000,000)","907","945","920","735","844"
,"Interest rate","6.34","6.86","6.29","7.00","7.05"
"Funds advanced, business loans, loans to individuals and others for business purposes","Dollars  (x 1,000,000)","106,169","112,224","110,051","107,804","103,864"
,"Interest rate","6.36","6.88","6.99","7.05","7.03"
"Funds advanced, business loans, non-residential mortgages","Dollars  (x 1,000,000)","2,442","2,459","2,226","2,589","2,236"
,"Interest rate","6.11","6.45","6.35","7.16","6.92"
"Total, outstanding balances, business loans 8","Dollars  (x 1,000,000)","686,673","697,892","704,034","702,155","707,513"
,"Interest rate","5.80","6.02","6.19","6.18","6.25"
"Outstanding balances, business loans, to regulated non-bank financial institutions","Dollars  (x 1,000,000)","11,922","12,649","13,094","12,900","12,547"
,"Interest rate","5.83","6.04","6.38","6.14","6.18"
"Outstanding balances, business loans, lease receivables","Dollars  (x 1,000,000)","19,339","19,700","19,810","19,861","19,730"
,"Interest rate","5.38","5.45","5.53","5.60","5.87"
"Outstanding balances, business loans, loans to individuals and others for business purposes","Dollars  (x 1,000,000)","483,716","493,541","498,504","496,837","503,618"
,"Interest rate","6.26","6.51","6.70","6.72","6.74"
"Outstanding balances, business loans, non-residential mortgages","Dollars  (x 1,000,000)","96,384","96,663","96,680","96,507","96,373"
,"Interest rate","4.97","5.05","5.16","5.20","5.23"




Footnotes:
1,"Month-end statement of funds advanced and outstanding balances vis-à-vis new and existing loans, booked in Canada, in Canadian dollars only, to Canadian households and businesses sectors by chartered banks."
2,"Funds advanced represents the cumulative total of new credit extended, new draws on existing credit facilities, mortgage or term-loan renewals and refinancing for a given month."
3,"Outstanding balances are reported as month-end accounting book values, gross of allowances for expected credit losses."
4,"Data collection on outstanding balances, auto-loans, open and closed variable rate residential mortgages began in July 2016."
5,"Interest-rates are calculated by a volume-weighted average, cross-sectioned on reporting institutions for a given month."
6,"The funds advanced and outstanding balance section classify amounts across terms based on the term set at loan origination."
7,"As of January 2019, insured and uninsured residential mortgages exclude residential mortgages to the corporate sector."
8,"As of January 2019, Total business loans exclude non-residential mortgages to the personal sector."



"How to cite: Statistics Canada. Table 10-10-0006-01  Funds advanced, outstanding balances, and interest rates for new and existing lending, Bank of Canada"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1010000601
